Province,City,Customer Id,Customer Name,Potential,2022 Q1 Target,sales,ALL_CUST,MA_CUST,VR_CUST,Stegaltro Listing Status,Stegaltro Listing Date
云南省,临沧市,900002341,临沧市人民医院,2032578.0,429.751,0.0,1.0,0.0,0.0,Not Listed,Not Listed
云南省,丽江市,900002353,华坪县中医院,628222.0,13279.3059,70908.915,0.0,0.0,0.0,Not Listed,Not Listed
云南省,丽江市,900003245,丽江市人民医院,1000767.0,15887.036900000001,154933.91859999998,0.0,0.0,0.0,Not Listed,Not Listed
云南省,丽江市,900020652,丽江市古城区人民医院,962761.0,11216.5011,32661.076,0.0,0.0,0.0,Not Listed,Not Listed
云南省,德宏傣族景颇族自治州,900007721,盈江县人民医院,1570573.0,386.7759,6813.954199999999,0.0,0.0,0.0,Not Listed,Not Listed
云南省,德宏傣族景颇族自治州,900008000,瑞丽市人民医院,1514639.0,25913.9853,123180.7886,0.0,0.0,0.0,Not Listed,Not Listed
云南省,德宏傣族景颇族自治州,900009327,芒市人民医院,853426.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,德宏傣族景颇族自治州,900021696,德宏傣族景颇族自治州人民医院,4210186.0,79691.8906,907639.3078000001,0.0,0.0,0.0,Listing,202111
云南省,文山壮族苗族自治州,900002323,文山州人民医院,2563411.0,17190.04,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,文山壮族苗族自治州,904301690,文山壮族苗族自治州人民医院(城南院区),110342.0,429.751,3867.759,0.0,0.0,0.0,Not Listed,Not Listed
云南省,昭通市,900003239,昭通市中医院,1733247.0,8337.1694,58016.385,0.0,0.0,0.0,Not Listed,Not Listed
云南省,昭通市,900013761,昭通市第一人民医院,5760553.0,80767.1305,32716.6025,2.0,1.0,1.0,Not Listed,Not Listed
云南省,普洱市,900002324,普洱市人民医院,443599.0,20112.3468,0.0,1.0,0.0,0.0,Not Listed,Not Listed
云南省,普洱市,900009820,景谷县中医院,727058.0,18522.2681,100991.485,0.0,0.0,0.0,Not Listed,Not Listed
云南省,普洱市,900012498,景谷傣族彝族自治县人民医院,2342734.0,18694.1685,2578.506,0.0,0.0,0.0,Not Listed,Not Listed
云南省,普洱市,900017914,镇沅县彝族哈尼族拉祜族自县人民医院,1067261.0,12376.8288,18049.542,0.0,0.0,0.0,Not Listed,Not Listed
云南省,普洱市,900019156,普洱市中医医院,1033225.0,8380.1445,5924.3029,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900003325,曲靖市第二人民医院,2219121.0,859.502,10743.775,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900005111,沾益县人民医院,2074601.0,20370.1974,89604.18449999999,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900005521,曲靖市第一人民医院,1725084.0,11136.5716,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900006663,曲靖市第五人民医院,565965.0,6360.3148,53430.5054,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900006810,罗平县人民医院,2244889.0,13279.3059,67773.71449999999,4.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900007100,宣威云峰医院,1927357.0,26171.8359,56823.7471,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900010028,罗平县中医院,471053.0,10700.7999,124914.9568,1.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900013786,曲靖市中医医院,2306254.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,曲靖市,900016428,富源县人民医院,2025267.0,22475.9773,1289.253,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900002336,楚雄彝族自治州中医院,2608784.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900005745,楚雄州人民医院,1494173.0,27740.7172,106019.5717,2.0,2.0,2.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900008654,姚安县中医医院,833482.0,10185.0987,24066.056,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900008655,姚安县人民医院,1350011.0,15685.9115,24066.056,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900013854,楚雄市人民医院,1301501.0,429.751,4727.2609999999995,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900014623,南华县人民医院,777931.0,8637.9951,31371.822999999997,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900023982,南华县中医院,0.0001,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,900028767,楚雄州人民医院分院,1641404.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,楚雄彝族自治州,901794653,南华县中医医院,917040.0,9755.3477,14611.534,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900002331,玉溪市中医院,3068162.0,44264.352999999996,288635.3669,14.0,12.0,11.0,Not Listed,Not Listed
云南省,玉溪市,900002335,江川县人民医院,2676846.0,19467.7203,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900002342,玉溪市人民医院,3145922.0,63032.4464,416936.789,9.0,6.0,5.0,Not Listed,Not Listed
云南省,玉溪市,900003242,峨山县人民医院,1508559.0,15642.9364,60807.9392,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900005856,玉溪市第三人民医院,1864025.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900006785,云南玉溪市百信医院,2337094.0,27933.815,80198.8328,1.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900007462,澄江县人民医院,1383199.0,11775.1774,7134.7474,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900009555,通海县人民医院,2426928.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,玉溪市,900011471,峨山县中医医院,691566.0,21315.6496,147101.5588,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900002325,红河州滇南中心医院,1862338.0,18221.4424,70479.164,3.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900003235,建水县中医院,849559.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900003968,开远市人民医院,0.0001,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900003969,建水县人民医院,2258795.0,80406.4121,614114.179,6.0,6.0,5.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900004544,红河州第二人民医院,825841.0,7950.3935,13322.281,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900005523,蒙自市人民医院,1651023.0,34981.7314,197685.46,9.0,8.0,5.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900006083,云南省滇南中心医院,2999643.0,61568.1577,298957.75,8.0,7.0,7.0,Listing,202202
云南省,红河哈尼族彝族自治州,900006544,弥勒县人民医院,3482442.0,3575.8233,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900009558,中国人民解放军第五十九医院,6626131.0,429.751,0.0,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900010967,石屏县人民医院,1552852.0,13150.3806,10314.024,0.0,0.0,0.0,Not Listed,Not Listed
云南省,红河哈尼族彝族自治州,900024881,蒙自县中医院,515131.0,7348.7421,36958.586,0.0,0.0,0.0,Not Listed,Not Listed
云南省,西双版纳傣族自治州,900002337,西双版纳州人民医院,1883766.0,71080.8154,433189.008,8.0,7.0,7.0,Not Listed,Not Listed
云南省,西双版纳傣族自治州,900002340,景洪市第一人民医院,3430173.0,3535.9996,0.0,1.0,1.0,1.0,Not Listed,Not Listed
云南省,西双版纳傣族自治州,900006207,景洪市人民医院,1479538.0,30297.4455,195787.957,1.0,1.0,1.0,Not Listed,Not Listed
云南省,迪庆藏族自治州,900010917,迪庆州人民医院,1881012.0,29867.6945,128936.0919,0.0,0.0,0.0,Not Listed,Not Listed
内蒙古自治区,乌兰察布市,900007466,乌兰察布市中心医院,1776170.0,99831.1573,364991.5293,8.0,8.0,8.0,Not Listed,Not Listed
